speaker,start,end,duration,text
Furhat,0 days 00:07:09.354000,0 days 00:07:11.209000,0 days 00:00:01.855000,ask if topic change
DF,0 days 00:07:11.877000,0 days 00:07:12.390000,0 days 00:00:00.513000,FP
Participant,0 days 00:07:11.941000,0 days 00:07:14.694000,0 days 00:00:02.753000,hm i am done thank you
DF,0 days 00:07:12.390000,0 days 00:07:13.540000,0 days 00:00:01.150000,UP
Furhat,0 days 00:07:16.203000,0 days 00:07:18.785000,0 days 00:00:02.582000,no match 1st
Participant,0 days 00:07:19.627000,0 days 00:07:20.936000,0 days 00:00:01.309000,that is all
Participant,0 days 00:07:27.360000,0 days 00:07:28.581000,0 days 00:00:01.221000,i am done
Participant,0 days 00:07:31.259000,0 days 00:07:31.858000,0 days 00:00:00.599000,no
Participant,0 days 00:07:32.563000,0 days 00:07:33.215000,0 days 00:00:00.652000,no
Furhat,0 days 00:07:35.624000,0 days 00:07:38.569000,0 days 00:00:02.945000,goodbye
Participant,0 days 00:07:39.134000,0 days 00:07:39.800000,0 days 00:00:00.666000,thank you
