speaker,start,end,duration,text
Furhat,00:01:48.470,00:01:49.349,00:00:00.879,no voice recognized 1st
Silence,00:01:49.349,00:01:50.224,00:00:00.875,silence
Participant,00:01:50.224,00:01:50.901,00:00:00.677,no
Silence,00:01:50.901,00:01:52.218,00:00:01.317,silence
Furhat,00:01:52.218,00:02:10.710,00:00:18.492,give advice
Silence,00:02:10.710,00:02:12.106,00:00:01.396,silence
Participant,00:02:12.106,00:02:13.157,00:00:01.051,what are my options
Silence,00:02:13.157,00:02:14.377,00:00:01.220,silence
Furhat,00:02:14.377,00:02:20.732,00:00:06.355,give options
Silence,00:02:20.732,00:02:21.097,00:00:00.365,silence
Participant,00:02:21.097,00:02:22.444,00:00:01.347,technical test
Silence,00:02:22.444,00:02:23.679,00:00:01.235,silence
Furhat,00:02:23.679,00:02:26.350,00:00:02.671,no match 1st
Silence,00:02:26.350,00:02:27.031,00:00:00.681,silence
Participant,00:02:27.031,00:02:28.283,00:00:01.252,what are my options
Silence,00:02:28.283,00:02:29.637,00:00:01.354,silence
Furhat,00:02:29.637,00:02:35.888,00:00:06.251,give options
Silence,00:02:35.888,00:02:36.067,00:00:00.179,silence
Participant,00:02:36.067,00:02:37.586,00:00:01.519,oh technical task
Silence,00:02:37.586,00:02:39.244,00:00:01.658,silence
Furhat,00:02:39.244,00:02:42.228,00:00:02.984,no match 2nd
Overlap,00:02:40.090,00:02:40.533,00:00:00.443,overlap
Participant,00:02:40.090,00:02:40.533,00:00:00.443,what
Silence,00:02:42.228,00:02:43.088,00:00:00.860,silence
Participant,00:02:43.088,00:02:44.826,00:00:01.738,yes technical task
Silence,00:02:44.826,00:02:47.468,00:00:02.642,silence
Furhat,00:02:47.468,00:02:54.760,00:00:07.292,give options
Silence,00:02:54.760,00:02:55.086,00:00:00.326,silence
Participant,00:02:55.086,00:02:56.543,00:00:01.457,technical task
Silence,00:02:56.543,00:02:58.226,00:00:01.683,silence
Furhat,00:02:58.226,00:03:02.752,00:00:04.526,no match 3rd
Silence,00:03:02.752,00:03:03.935,00:00:01.183,silence
Participant,00:03:03.935,00:03:05.824,00:00:01.889,technical task
Silence,00:03:05.824,00:03:07.259,00:00:01.435,silence
Furhat,00:03:07.259,00:03:12.335,00:00:05.076,no match 3rd
Overlap,00:03:08.980,00:03:11.591,00:00:02.611,overlap
Participant,00:03:08.980,00:03:11.591,00:00:02.611,oh test it is test after all
Silence,00:03:12.335,00:03:12.586,00:00:00.251,silence
Participant,00:03:12.586,00:03:14.128,00:00:01.542,eh technical test
Silence,00:03:14.128,00:03:16.051,00:00:01.923,silence
Furhat,00:03:16.051,00:03:18.532,00:00:02.481,ask open question
Silence,00:03:18.532,00:03:19.051,00:00:00.519,silence
Participant,00:03:19.051,00:03:21.365,00:00:02.314,i have no idea whatsoever 
Silence,00:03:21.365,00:03:22.570,00:00:01.205,silence
Furhat,00:03:22.570,00:03:46.166,00:00:23.596,give advice
Silence,00:03:46.166,00:03:46.380,00:00:00.214,silence
Participant,00:03:46.380,00:03:47.169,00:00:00.789,no thank you
Silence,00:03:47.169,00:03:48.568,00:00:01.399,silence
Furhat,00:03:48.568,00:03:52.438,00:00:03.870,ask if topic change
Silence,00:03:52.438,00:03:53.250,00:00:00.812,silence
Participant,00:03:53.250,00:03:54.250,00:00:01.000,how was your day
Silence,00:03:54.250,00:03:55.723,00:00:01.473,silence
Furhat,00:03:55.723,00:03:58.797,00:00:03.074,no match 1st
Overlap,00:03:56.750,00:03:57.390,00:00:00.640,overlap
Participant,00:03:56.750,00:03:57.390,00:00:00.640,i know
Silence,00:03:58.797,00:03:58.847,00:00:00.050,silence
Participant,00:03:58.847,00:04:00.422,00:00:01.575,eh no thank you
DF,00:03:58.990,00:03:59.360,00:00:00.370,FP
Silence,00:04:00.422,00:04:01.859,00:00:01.437,silence
Furhat,00:04:01.859,00:04:04.710,00:00:02.851,goodbye
Participant,00:04:03.322,00:04:03.960,00:00:00.638,i know
Overlap,00:04:03.322,00:04:03.960,00:00:00.638,overlap
Silence,00:04:04.710,00:04:05.293,00:00:00.583,silence
Participant,00:04:05.293,00:04:06.249,00:00:00.956,thank you
