speaker,start,end,duration,text
Participant,00:03:10.054,00:03:12.525,00:00:02.471,yeah let's talk about job interviews now
Silence,00:03:12.525,00:03:13.296,00:00:00.771,silence
Furhat,00:03:13.296,00:03:24.388,00:00:11.092,ask for advice need
Silence,00:03:24.388,00:03:24.544,00:00:00.156,silence
Participant,00:03:24.544,00:03:26.760,00:00:02.216,yeah then let's talk about preparation
Silence,00:03:26.760,00:03:29.755,00:00:02.995,silence
Furhat,00:03:29.755,00:03:30.790,00:00:01.035,no voice recognized 1st
Silence,00:03:30.790,00:03:31.676,00:00:00.886,silence
Participant,00:03:31.676,00:03:33.004,00:00:01.328,preparation
Silence,00:03:33.004,00:03:35.402,00:00:02.398,silence
Furhat,00:03:35.402,00:03:37.528,00:00:02.126,ask open question
Silence,00:03:37.528,00:03:39.541,00:00:02.013,silence
Participant,00:03:39.541,00:03:52.400,00:00:12.859,i don't know i research the job and then i have a look at the at the company to have some information about that beforehand and yeah otherwise i don't know i just present myself
DF,00:03:43.450,00:03:44.510,00:00:01.060,REP
Silence,00:03:52.400,00:03:53.958,00:00:01.558,silence
Furhat,00:03:53.958,00:04:11.193,00:00:17.235,give advice
Silence,00:04:11.193,00:04:11.491,00:00:00.298,silence
Participant,00:04:11.491,00:04:14.204,00:00:02.713,yeah then let's talk about technical skills
Overlap,00:04:13.659,00:04:14.204,00:00:00.545,yeah then let's talk about technical skills give options
Furhat,00:04:13.659,00:04:20.849,00:00:07.190,give options
Silence,00:04:20.849,00:04:21.031,00:00:00.182,silence
Participant,00:04:21.031,00:04:22.360,00:00:01.329,technical test
Silence,00:04:22.360,00:04:26.301,00:00:03.941,silence
Furhat,00:04:26.301,00:04:27.133,00:00:00.832,no voice recognizes 1st
Silence,00:04:27.133,00:04:28.327,00:00:01.194,silence
Participant,00:04:28.327,00:04:29.851,00:00:01.524,technical test
Silence,00:04:29.851,00:04:31.211,00:00:01.360,silence
Furhat,00:04:31.211,00:04:33.604,00:00:02.393,ask open question
Silence,00:04:33.604,00:04:34.720,00:00:01.116,silence
Participant,00:04:34.720,00:04:53.120,00:00:18.400,ehm i think i should eh think about what eh specific role i have there and then think about maybe easy tasks that i could eh do for that so for example i don't know for one eh job interview i for example had to explain what an rest api is
DF,00:04:34.720,00:04:35.350,00:00:00.630,FP
DF,00:04:36.960,00:04:37.280,00:00:00.320,FP
DF,00:04:38.500,00:04:38.880,00:00:00.380,FP
DF,00:04:44.390,00:04:44.800,00:00:00.410,FP
DF,00:04:48.310,00:04:48.710,00:00:00.400,FP
Overlap,00:04:51.885,00:04:53.120,00:00:01.235,ehm i think i should eh think about what eh specific role i have there and then think about maybe easy tasks that i could eh do for that so for example i don't know for one eh job interview i for example had to explain what an rest api is give advice
Furhat,00:04:51.885,00:05:13.380,00:00:21.495,give advice
Silence,00:05:13.380,00:05:14.011,00:00:00.631,silence
Participant,00:05:14.011,00:05:16.189,00:00:02.178,what are my options again
Silence,00:05:16.189,00:05:17.287,00:00:01.098,silence
Furhat,00:05:17.287,00:05:23.484,00:00:06.197,give options
Silence,00:05:23.484,00:05:23.540,00:00:00.056,silence
Participant,00:05:23.540,00:05:26.764,00:00:03.224,yeah then let's talk about the interview questions
Silence,00:05:26.764,00:05:28.752,00:00:01.988,silence
Furhat,00:05:28.752,00:05:29.888,00:00:01.136,no voice recognized 1st
Silence,00:05:29.888,00:05:30.399,00:00:00.511,silence
Participant,00:05:30.399,00:05:32.221,00:00:01.822,interview questions
Silence,00:05:32.221,00:05:33.464,00:00:01.243,silence
Furhat,00:05:33.464,00:05:35.774,00:00:02.310,ask open question
Silence,00:05:35.774,00:05:37.193,00:00:01.419,silence
Participant,00:05:37.193,00:05:39.994,00:00:02.801,i don't know usually i'm not the one who asks
Silence,00:05:39.994,00:05:41.217,00:00:01.223,silence
Furhat,00:05:41.217,00:05:59.825,00:00:18.608,give advice
Silence,00:05:59.825,00:06:00.168,00:00:00.343,silence
Participant,00:06:00.168,00:06:00.930,00:00:00.762,no
Silence,00:06:00.930,00:06:02.435,00:00:01.505,silence
Furhat,00:06:02.435,00:06:06.732,00:00:04.297,ask if topic change
Silence,00:06:06.732,00:06:07.164,00:00:00.432,silence
Participant,00:06:07.164,00:06:08.319,00:00:01.155,no thank you
Silence,00:06:08.319,00:06:09.679,00:00:01.360,silence
Furhat,00:06:09.679,00:06:12.526,00:00:02.847,goodbye
